log,label
"Read out cached package applicability for package: Package_for_KB3022777~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
jk2_init() Found child 5482 in scoreboard slot 9,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 32604 in scoreboard slot 6,Normal Activity
jk2_init() Found child 1331 in scoreboard slot 10,Normal Activity
jk2_init() Found child 6294 in scoreboard slot 7,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB3078601~31bf3856ad364e35~amd64~~6.1.1.5, ApplicableState: 112, CurrentState:112",Normal Activity
Invalid user matlab from 52.80.34.196,Brute Force Attack
Failed password for root from 183.62.140.253 port 56571 ssh2,Brute Force Attack
jk2_init() Found child 5021 in scoreboard slot 8,Normal Activity
trojan activity detected on host,Malware Activity
"Read out cached package applicability for package: Package_for_KB3033929~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112",Normal Activity
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2620704~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Session: 30546174_99222682 initialized by client WindowsUpdateAgent.,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
session closed for user test,Suspicious Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 8553 in scoreboard slot 8,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed password for invalid user admin from 5.188.10.180 port 60682 ssh2,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB2786081~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Session: 30546354_3301471014 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 1931 in scoreboard slot 7,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Failed password for root from 183.62.140.253 port 44412 ssh2,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
user unknown attempted unauthorized root access,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.229.150.228,Brute Force Attack
Failed password for root from 192.168.1.5,Brute Force Attack
session closed for user news,Suspicious Activity
Session: 30546354_3290900409 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
jk2_init() Found child 1832 in scoreboard slot 6,Normal Activity
suspicious malware process detected,Malware Activity
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:22 2005,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
jk2_init() Found child 1867 in scoreboard slot 8,Normal Activity
malicious payload detected on system,Malware Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,Normal Activity
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:14:36 2005,Normal Activity
malicious payload detected on system,Malware Activity
suspicious malware process detected,Malware Activity
input_userauth_request: invalid user cheng [preauth],Brute Force Attack
check pass; user unknown,Brute Force Attack
elevated privileges granted to unauthorized user root,Privilege Escalation
Failed password for root from 183.62.140.253 port 58869 ssh2,Brute Force Attack
Failed password for root from 183.62.140.253 port 58556 ssh2,Brute Force Attack
Failed password for root from 183.62.140.253 port 41908 ssh2,Brute Force Attack
elevated privileges granted to unauthorized user guest,Privilege Escalation
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
SSH connection established,Normal Activity
connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,Normal Activity
user root executed sudo command with elevated privileges,Privilege Escalation
connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
mod_jk child workerEnv in error state 9,Suspicious Activity
Session: 30546174_27448577 initialized by client WindowsUpdateAgent.,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB2884256~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
infected file detected during security scan,Malware Activity
infected file detected during security scan,Malware Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",Normal Activity
malicious file detected on system,Malware Activity
suspicious malware process detected,Malware Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3042058~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112",Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed password for root from 183.62.140.253 port 37388 ssh2,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.181.236.180  user=root,Brute Force Attack
jk2_init() Found child 6279 in scoreboard slot 6,Normal Activity
connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
Invalid user ftpuser from 103.99.0.122,Brute Force Attack
Session: 30546174_91592245 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
user user1 attempted unauthorized root access,Privilege Escalation
session opened for user cyrus by (uid=0),Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 5992 in scoreboard slot 8,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,Brute Force Attack
input_userauth_request: invalid user admin [preauth],Brute Force Attack
Failed password for root from 187.141.143.180 port 52212 ssh2,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
"Read out cached package applicability for package: Package_for_KB3072305~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
malware activity detected in system file,Malware Activity
"Read out cached package applicability for package: Package_for_KB2758857~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112",Normal Activity
jk2_init() Found child 1477 in scoreboard slot 6,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,Brute Force Attack
Connection closed by 5.188.10.180 [preauth],Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Brute Force Attack
suspicious malware process detected,Malware Activity
Session: 30546174_35689048 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB2965788~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112",Normal Activity
jk2_init() Found child 6707 in scoreboard slot 8,Normal Activity
Session: 30546354_3178803998 initialized by client WindowsUpdateAgent.,Normal Activity
session opened for user test by (uid=509),Normal Activity
unauthorized privilege escalation detected for user guest,Privilege Escalation
jk2_init() Found child 1283 in scoreboard slot 6,Normal Activity
"Read out cached package applicability for package: Package_for_KB2601626~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 0, CurrentState:0",Normal Activity
Starting pcmcia:  succeeded,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root,Brute Force Attack
connection from 211.167.68.59 () at Sat Jul  9 12:16:51 2005,Normal Activity
virus scan detected malicious executable,Malware Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 210.245.165.136 () at Sun Jul 17 09:44:07 2005,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
jk2_init() Found child 32683 in scoreboard slot 10,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
Disconnecting: Too many authentication failures for admin [preauth],Brute Force Attack
malicious file detected on system,Malware Activity
Invalid user admin from 185.190.58.151,Brute Force Attack
Failed password for root from 183.62.140.253 port 40110 ssh2,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
check pass; user unknown,Brute Force Attack
sudo access used by unauthorized account root,Privilege Escalation
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
input_userauth_request: invalid user test [preauth],Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
malicious file detected on system,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB3059317~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_RollupFix~31bf3856ad364e35~amd64~~7601.23545.1.4, ApplicableState: 112, CurrentState:112",Normal Activity
check pass; user unknown,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,Brute Force Attack
Session: 30546174_857056 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546354_3194774911 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
elevated privileges granted to unauthorized user root,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB2853952~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:02:54 2005,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
jk2_init() Found child 1277 in scoreboard slot 7,Normal Activity
jk2_init() Found child 1899 in scoreboard slot 7,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Session: 30546354_3232347060 initialized by client WindowsUpdateAgent.,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
malware activity detected in system file,Malware Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
jk2_init() Found child 32553 in scoreboard slot 9,Normal Activity
administrative privilege escalation detected,Privilege Escalation
Failed password for root from 123.235.32.19 port 49720 ssh2,Brute Force Attack
Session: 30546174_164936440 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546354_2839784607 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546174_30478750 initialized by client WindowsUpdateAgent.,Normal Activity
root privileges obtained by user unknown,Privilege Escalation
Warning: Unrecognized packageExtended attribute.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
Failed password for invalid user PlcmSpIp from 103.99.0.122 port 51966 ssh2,Brute Force Attack
DMI 2.3 present.,Normal Activity
"Read out cached package applicability for package: Package_for_KB2719857~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
root privileges obtained by user user1,Privilege Escalation
user user1 gained administrative privileges,Privilege Escalation
jk2_init() Found child 5562 in scoreboard slot 6,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,Brute Force Attack
Failed password for root from 183.62.140.253 port 55069 ssh2,Brute Force Attack
trojan activity detected on host,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 32677 in scoreboard slot 7,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Couldn't authenticate user,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Kerberos authentication failed,Normal Activity
check pass; user unknown,Brute Force Attack
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
jk2_init() Found child 8766 in scoreboard slot 12,Normal Activity
session opened for user cyrus by (uid=0),Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
Failed password for root from 183.62.140.253 port 45079 ssh2,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.214.161.141  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2834140~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:0",Normal Activity
connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,Normal Activity
Invalid user zhangyan from 183.62.140.253,Brute Force Attack
malware activity detected in system file,Malware Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 1507 in scoreboard slot 10,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 1321 in scoreboard slot 9,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
check pass; user unknown,Brute Force Attack
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:19 2005,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
root privileges obtained by user root,Privilege Escalation
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,Brute Force Attack
jk2_init() Found child 6639 in scoreboard slot 7,Normal Activity
session opened for user test by (uid=509),Normal Activity
malicious file detected on system,Malware Activity
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,Normal Activity
administrative privilege escalation detected,Privilege Escalation
Session: 30546354_3328722573 initialized by client WindowsUpdateAgent.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,Brute Force Attack
Invalid user admin from 185.190.58.151,Brute Force Attack
Failed password for invalid user admin from 119.4.203.64 port 2191 ssh2,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3010788~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
jk2_init() Found child 32440 in scoreboard slot 10,Normal Activity
input_userauth_request: invalid user test1 [preauth],Brute Force Attack
BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151,Brute Force Attack
Failed password for root from 183.62.140.253 port 42836 ssh2,Brute Force Attack
Session: 30546174_132424581 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 183.62.140.253 port 36525 ssh2,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3045685~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root,Brute Force Attack
connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=git,Brute Force Attack
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,Normal Activity
hcid startup succeeded,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.207.39.165,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,Normal Activity
Session: 30546354_3185364373 initialized by client WindowsUpdateAgent.,Normal Activity
malware signature detected by security scanner,Malware Activity
jk2_init() Found child 1822 in scoreboard slot 7,Normal Activity
trojan activity detected on host,Malware Activity
connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2509553~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:42 2005,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:31:04 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
notify question section contains no SOA,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 208.62.55.75 () at Wed Jun 29 10:48:08 2005,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed password for root from 183.62.140.253 port 60209 ssh2,Brute Force Attack
malicious payload detected on system,Malware Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,Normal Activity
virus scan detected malicious executable,Malware Activity
Session: 30546354_2959511455 initialized by client WindowsUpdateAgent.,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
jk2_init() Can't find child 2086 in scoreboard,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2984972~31bf3856ad364e35~amd64~~6.1.1.4, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,Suspicious Activity
session closed for user cyrus,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
Failed password for invalid user admin from 119.4.203.64 port 2191 ssh2,Brute Force Attack
check pass; user unknown,Brute Force Attack
suspicious malware process detected,Malware Activity
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:22 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
virus scan detected malicious executable,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
session closed for user news,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB3020393~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 64, CurrentState:0",Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,Brute Force Attack
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 220.94.205.45 () at Sun Jul 10 13:17:22 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
input_userauth_request: invalid user admin [preauth],Brute Force Attack
Failed password for invalid user oralce from 187.141.143.180 port 40988 ssh2,Brute Force Attack
Session: 30546354_3290750401 initialized by client WindowsUpdateAgent.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 324 in scoreboard slot 11,Normal Activity
jk2_init() Found child 2030 in scoreboard slot 6,Normal Activity
malicious payload detected on system,Malware Activity
Failed password for invalid user inspur from 183.136.162.51 port 55204 ssh2,Brute Force Attack
root privileges obtained by user user1,Privilege Escalation
connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
unauthorized privilege escalation detected for user admin,Privilege Escalation
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Normal Activity
jk2_init() Found child 1898 in scoreboard slot 9,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 5483 in scoreboard slot 6,Normal Activity
jk2_init() Found child 6297 in scoreboard slot 7,Normal Activity
Session: 30546354_3300980986 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 4905 in scoreboard slot 8,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Session: 30546174_144085248 initialized by client WindowsUpdateAgent.,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 8,Suspicious Activity
malware signature detected by security scanner,Malware Activity
Ending the TrustedInstaller main loop.,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
input_userauth_request: invalid user ubnt [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3168965~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:112",Normal Activity
trojan activity detected on host,Malware Activity
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,Normal Activity
malware signature detected by security scanner,Malware Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 311 in scoreboard slot 9,Normal Activity
malware signature detected by security scanner,Malware Activity
Failed password for root from 112.95.230.3 port 58304 ssh2,Brute Force Attack
Kerberos authentication failed,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB2972211~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
infected file detected during security scan,Malware Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Session: 30546354_2850685230 initialized by client WindowsUpdateAgent.,Normal Activity
